date,item,price
2022-09-04,bigplate:beijingbeef honeywalnutshrimp stringbeanchickenbreast brownrice,9.70
2022-09-04,plate:orangechicken mushroomchicken veggiespringroll,8.20
2022-09-04,plate:blackpepperchicken blackpepperangussteak whiterice,8.20
2022-09-04,bowl:blackpepperchicken chowmein,6.70
2022-09-04,mixedvegetables,2.70
2022-09-04,plate:mushroomchicken blackpepperchicken brownrice,8.20
2022-09-04,bigplate:broccolibeef beijingbeef honeywalnutshrimp creamcheeserangoon,9.70
2022-09-04,friedrice,6.70
2022-09-04,friedrice,6.70
2022-09-04,plate:broccolibeef broccolibeef whiterice,8.20
2022-09-04,bowl:sweetfirechickenbreast brownrice,6.70
2022-09-04,plate:grilledteriyakichicken beijingbeef crispyshrimp,8.20
2022-09-04,bowl:generaltsochicken veggiespringroll,6.70
2022-09-04,bowl:grilledteriyakichicken brownrice,6.70
2022-09-04,plate:honeywalnutshrimp stringbeanchickenbreast friedrice,8.20
2022-09-04,crispyshrimp,2.70
2022-09-04,chickeneggroll,6.70
2022-09-04,bigplate:sweetfirechickenbreast honeywalnutshrimp blackpepperangussteak friedrice,9.70
2022-09-04,plate:honeysesamechicken beijingbeef friedrice,8.20
2022-09-04,crispyshrimp,6.70
2022-09-04,bowl:grilledteriyakichicken chickeneggroll,6.70
2022-09-04,brownrice,2.70
2022-09-04,plate:honeywalnutshrimp broccolibeef crispyshrimp,8.20
2022-09-04,bigplate:grilledteriyakichicken broccolibeef blackpepperchicken friedrice,9.70
2022-09-04,bigplate:broccolibeef broccolibeef eggplanttofu chickenpotsticker,9.70
2022-09-04,veggiespringroll,2.70
2022-09-04,friedrice,6.70
2022-09-04,bowl:beijingbeef friedrice,6.70
2022-09-04,crispyshrimp,2.70
2022-09-04,bigplate:blackpepperchicken honeysesamechicken grilledteriyakichicken mixedvegetables,9.70
2022-09-04,plate:beijingbeef broccolibeef chickenpotsticker,8.20
2022-09-04,crispyshrimp,6.70
2022-09-04,bigplate:honeywalnutshrimp beijingbeef honeysesamechicken friedrice,9.70
2022-09-04,friedrice,2.70
2022-09-04,veggiespringroll,2.70
2022-09-04,whiterice,2.70
2022-09-04,bowl:beijingbeef veggiespringroll,6.70
2022-09-04,,6.70
2022-09-04,honeysesamechicken,6.70
2022-09-04,bigplate:stringbeanchickenbreast eggplanttofu grilledteriyakichicken whiterice,9.70
2022-09-04,bigplate:mushroomchicken blackpepperchicken honeywalnutshrimp chickenpotsticker,9.70
2022-09-04,,6.70
2022-09-04,bowl:blackpepperangussteak chowmein,6.70
2022-09-04,mixedvegetables,2.70
2022-09-04,honeysesamechicken,6.70
2022-09-04,veggiespringroll,2.70
2022-09-04,friedrice,6.70
2022-09-04,bigplate:generaltsochicken grilledteriyakichicken honeywalnutshrimp crispyshrimp,9.70
2022-09-04,chickeneggroll,6.70
2022-09-04,bowl:blackpepperangussteak whiterice,6.70
2022-09-04,chickenpotsticker,6.70
2022-09-04,bowl:eggplanttofu friedrice,6.70
2022-09-04,bigplate:mushroomchicken honeywalnutshrimp beijingbeef mixedvegetables,9.70
2022-09-04,bigplate:honeysesamechicken sweetfirechickenbreast generaltsochicken creamcheeserangoon,9.70
2022-09-04,chickeneggroll,2.70
2022-09-04,bowl:grilledteriyakichicken mixedvegetables,6.70
2022-09-04,bowl:broccolibeef brownrice,6.70
2022-09-04,brownrice,2.70
2022-09-04,bowl:mushroomchicken creamcheeserangoon,6.70
2022-09-04,bigplate:honeysesamechicken blackpepperangussteak blackpepperangussteak creamcheeserangoon,9.70
2022-09-04,bigplate:honeywalnutshrimp grilledteriyakichicken honeysesamechicken mixedvegetables,9.70
2022-09-04,chowmein,2.70
2022-09-04,orangechicken,6.70
2022-09-04,chowmein,6.70
2022-09-04,bowl:honeywalnutshrimp brownrice,6.70
2022-09-04,chickeneggroll,2.70
2022-09-04,plate:kungpaochicken honeywalnutshrimp brownrice,8.20
2022-09-04,bigplate:mushroomchicken broccolibeef honeysesamechicken crispyshrimp,9.70
2022-09-04,bowl:mushroomchicken veggiespringroll,6.70
2022-09-04,bigplate:sweetfirechickenbreast sweetfirechickenbreast blackpepperchicken whiterice,9.70
2022-09-04,bigplate:eggplanttofu grilledteriyakichicken eggplanttofu veggiespringroll,9.70
2022-09-04,creamcheeserangoon,6.70
2022-09-04,friedrice,6.70
2022-09-04,whiterice,2.70
2022-09-04,brownrice,6.70
2022-09-04,bigplate:generaltsochicken stringbeanchickenbreast broccolibeef whiterice,9.70
2022-09-04,bigplate:orangechicken blackpepperchicken kungpaochicken mixedvegetables,9.70
2022-09-04,bigplate:orangechicken generaltsochicken sweetfirechickenbreast chowmein,9.70
2022-09-04,plate:stringbeanchickenbreast eggplanttofu chowmein,8.20
2022-09-04,bowl:generaltsochicken brownrice,6.70
2022-09-04,plate:blackpepperangussteak eggplanttofu creamcheeserangoon,8.20
2022-09-04,mixedvegetables,6.70
2022-09-04,bowl:honeywalnutshrimp chowmein,6.70
2022-09-04,bowl:broccolibeef chickeneggroll,6.70
2022-09-04,bigplate:honeywalnutshrimp stringbeanchickenbreast blackpepperangussteak whiterice,9.70
2022-09-04,plate:beijingbeef mushroomchicken crispyshrimp,8.20
2022-09-04,mixedvegetables,2.70
2022-09-04,plate:grilledteriyakichicken grilledteriyakichicken brownrice,8.20
2022-09-04,bowl:beijingbeef chickenpotsticker,6.70
2022-09-04,whiterice,2.70
2022-09-04,bigplate:sweetfirechickenbreast honeywalnutshrimp broccolibeef friedrice,9.70
2022-09-04,creamcheeserangoon,2.70
2022-09-04,,6.70
2022-09-04,bowl:grilledteriyakichicken friedrice,6.70
2022-09-04,mixedvegetables,6.70
2022-09-04,plate:eggplanttofu stringbeanchickenbreast chickeneggroll,8.20
2022-09-04,bowl:orangechicken veggiespringroll,6.70
2022-09-04,plate:generaltsochicken kungpaochicken chickeneggroll,8.20
2022-09-04,bowl:generaltsochicken veggiespringroll,6.70
2022-09-04,bowl:blackpepperchicken whiterice,6.70
2022-09-04,bowl:grilledteriyakichicken chowmein,6.70
2022-09-04,plate:broccolibeef broccolibeef chickenpotsticker,8.20
2022-09-04,bigplate:sweetfirechickenbreast mushroomchicken sweetfirechickenbreast mixedvegetables,9.70
2022-09-04,plate:stringbeanchickenbreast sweetfirechickenbreast creamcheeserangoon,8.20
2022-09-04,bowl:sweetfirechickenbreast chickenpotsticker,6.70
2022-09-04,plate:honeysesamechicken generaltsochicken friedrice,8.20
2022-09-04,bigplate:sweetfirechickenbreast mushroomchicken kungpaochicken brownrice,9.70
2022-09-04,bigplate:generaltsochicken broccolibeef honeysesamechicken whiterice,9.70
2022-09-04,bowl:broccolibeef chickeneggroll,6.70
2022-09-04,bigplate:blackpepperchicken sweetfirechickenbreast blackpepperangussteak crispyshrimp,9.70
2022-09-04,bigplate:orangechicken kungpaochicken kungpaochicken chickenpotsticker,9.70
2022-09-04,plate:honeywalnutshrimp stringbeanchickenbreast veggiespringroll,8.20
2022-09-04,bigplate:broccolibeef kungpaochicken mushroomchicken friedrice,9.70
2022-09-04,crispyshrimp,6.70
2022-09-04,plate:honeywalnutshrimp kungpaochicken chickenpotsticker,8.20
2022-09-04,plate:sweetfirechickenbreast beijingbeef chowmein,8.20
2022-09-04,whiterice,2.70
2022-09-04,plate:sweetfirechickenbreast mushroomchicken veggiespringroll,8.20
2022-09-04,orangechicken,6.70
2022-09-04,bowl:stringbeanchickenbreast veggiespringroll,6.70
2022-09-04,plate:stringbeanchickenbreast orangechicken crispyshrimp,8.20
2022-09-04,brownrice,6.70
2022-09-04,plate:broccolibeef blackpepperangussteak whiterice,8.20
2022-09-04,bigplate:broccolibeef honeysesamechicken sweetfirechickenbreast creamcheeserangoon,9.70
2022-09-04,bigplate:beijingbeef mushroomchicken beijingbeef chowmein,9.70
2022-09-04,honeysesamechicken,6.70
2022-09-04,chowmein,2.70
2022-09-04,chowmein,2.70
2022-09-04,bigplate:broccolibeef orangechicken stringbeanchickenbreast chowmein,9.70
2022-09-04,bigplate:eggplanttofu kungpaochicken eggplanttofu brownrice,9.70
2022-09-04,veggiespringroll,6.70
2022-09-04,chickeneggroll,2.70
2022-09-04,chickeneggroll,2.70
2022-09-04,bigplate:broccolibeef stringbeanchickenbreast generaltsochicken crispyshrimp,9.70
2022-09-04,creamcheeserangoon,2.70
2022-09-04,plate:blackpepperchicken stringbeanchickenbreast chickenpotsticker,8.20
2022-09-04,chowmein,6.70
2022-09-04,bowl:blackpepperangussteak friedrice,6.70
2022-09-04,plate:honeywalnutshrimp mushroomchicken mixedvegetables,8.20
2022-09-04,chickeneggroll,2.70
2022-09-04,chickenpotsticker,2.70
2022-09-04,chickeneggroll,2.70
2022-09-04,bigplate:blackpepperangussteak stringbeanchickenbreast grilledteriyakichicken mixedvegetables,9.70
2022-09-04,plate:beijingbeef beijingbeef crispyshrimp,8.20
2022-09-04,chowmein,6.70
2022-09-04,bigplate:blackpepperangussteak honeywalnutshrimp blackpepperangussteak whiterice,9.70
2022-09-04,plate:honeywalnutshrimp blackpepperchicken friedrice,8.20
2022-09-04,plate:sweetfirechickenbreast beijingbeef chickeneggroll,8.20
2022-09-04,chickenpotsticker,2.70
2022-09-04,bowl:broccolibeef creamcheeserangoon,6.70
2022-09-04,veggiespringroll,2.70
2022-09-04,bigplate:mushroomchicken honeywalnutshrimp mushroomchicken chickenpotsticker,9.70
2022-09-04,bigplate:stringbeanchickenbreast sweetfirechickenbreast honeywalnutshrimp chickenpotsticker,9.70
2022-09-04,plate:eggplanttofu kungpaochicken friedrice,8.20
2022-09-04,plate:beijingbeef stringbeanchickenbreast brownrice,8.20
2022-09-04,plate:orangechicken mushroomchicken brownrice,8.20
2022-09-04,bigplate:honeywalnutshrimp kungpaochicken grilledteriyakichicken creamcheeserangoon,9.70
2022-09-04,bigplate:stringbeanchickenbreast broccolibeef honeywalnutshrimp crispyshrimp,9.70
2022-09-04,plate:stringbeanchickenbreast eggplanttofu creamcheeserangoon,8.20
2022-09-04,bigplate:blackpepperchicken honeysesamechicken sweetfirechickenbreast chowmein,9.70
2022-09-04,plate:grilledteriyakichicken generaltsochicken veggiespringroll,8.20
2022-09-04,plate:stringbeanchickenbreast orangechicken mixedvegetables,8.20
2022-09-04,veggiespringroll,6.70
2022-09-04,bigplate:orangechicken mushroomchicken eggplanttofu chowmein,9.70
2022-09-04,friedrice,6.70
2022-09-04,bowl:beijingbeef brownrice,6.70
2022-09-04,whiterice,6.70
2022-09-04,bowl:broccolibeef brownrice,6.70
2022-09-04,plate:generaltsochicken broccolibeef brownrice,8.20
2022-09-04,bowl:blackpepperangussteak crispyshrimp,6.70
2022-09-04,creamcheeserangoon,6.70
2022-09-04,bowl:beijingbeef brownrice,6.70
2022-09-04,whiterice,2.70
2022-09-04,chickenpotsticker,2.70
2022-09-04,whiterice,2.70
2022-09-04,bowl:stringbeanchickenbreast chickeneggroll,6.70
2022-09-04,mixedvegetables,2.70
2022-09-04,mixedvegetables,6.70
2022-09-04,,6.70
2022-09-04,plate:broccolibeef sweetfirechickenbreast chowmein,8.20
2022-09-04,chickenpotsticker,6.70
2022-09-04,plate:stringbeanchickenbreast beijingbeef creamcheeserangoon,8.20
2022-09-04,bigplate:grilledteriyakichicken honeysesamechicken honeysesamechicken crispyshrimp,9.70
2022-09-04,bigplate:honeywalnutshrimp eggplanttofu honeysesamechicken brownrice,9.70
2022-09-04,bigplate:blackpepperangussteak stringbeanchickenbreast orangechicken chickeneggroll,9.70
2022-09-04,bowl:kungpaochicken friedrice,6.70
2022-09-04,plate:orangechicken sweetfirechickenbreast veggiespringroll,8.20
2022-09-04,mixedvegetables,2.70
2022-09-04,orangechicken,6.70
2022-09-04,orangechicken,6.70
2022-09-04,bowl:mushroomchicken friedrice,6.70
2022-09-04,bowl:honeywalnutshrimp crispyshrimp,6.70
2022-09-04,chickeneggroll,2.70
2022-09-04,bowl:generaltsochicken chickenpotsticker,6.70
2022-09-04,plate:grilledteriyakichicken eggplanttofu mixedvegetables,8.20
2022-09-04,mixedvegetables,2.70
2022-09-04,chickeneggroll,6.70
2022-09-04,bowl:stringbeanchickenbreast crispyshrimp,6.70
2022-09-04,bigplate:generaltsochicken honeywalnutshrimp orangechicken whiterice,9.70
2022-09-04,plate:beijingbeef blackpepperchicken crispyshrimp,8.20
2022-09-04,plate:sweetfirechickenbreast kungpaochicken mixedvegetables,8.20
2022-09-04,plate:eggplanttofu eggplanttofu creamcheeserangoon,8.20
2022-09-04,bigplate:eggplanttofu broccolibeef sweetfirechickenbreast chickeneggroll,9.70
2022-09-04,bigplate:eggplanttofu orangechicken generaltsochicken crispyshrimp,9.70
2022-09-04,veggiespringroll,6.70
2022-09-04,chickenpotsticker,6.70
2022-09-04,chickeneggroll,6.70
2022-09-04,chickeneggroll,2.70
2022-09-04,bigplate:grilledteriyakichicken broccolibeef mushroomchicken friedrice,9.70
2022-09-04,bowl:honeysesamechicken chickenpotsticker,6.70
2022-09-04,crispyshrimp,2.70
2022-09-04,bowl:broccolibeef friedrice,6.70
2022-09-04,veggiespringroll,2.70
2022-09-04,bigplate:orangechicken kungpaochicken generaltsochicken friedrice,9.70
2022-09-04,creamcheeserangoon,2.70
2022-09-04,plate:kungpaochicken blackpepperchicken creamcheeserangoon,8.20
2022-09-04,plate:beijingbeef honeysesamechicken brownrice,8.20
2022-09-04,creamcheeserangoon,6.70
2022-09-04,bigplate:generaltsochicken orangechicken sweetfirechickenbreast brownrice,9.70
2022-09-04,bowl:blackpepperangussteak crispyshrimp,6.70
2022-09-04,bowl:stringbeanchickenbreast chickenpotsticker,6.70
2022-09-04,brownrice,6.70
2022-09-04,bowl:orangechicken chowmein,6.70
2022-09-04,chowmein,6.70
2022-09-04,bowl:beijingbeef friedrice,6.70
2022-09-04,plate:honeywalnutshrimp blackpepperangussteak whiterice,8.20
2022-09-04,bowl:grilledteriyakichicken veggiespringroll,6.70
2022-09-04,chickeneggroll,2.70
2022-09-04,friedrice,2.70
2022-09-04,plate:mushroomchicken blackpepperangussteak brownrice,8.20
2022-09-04,bowl:honeywalnutshrimp chickenpotsticker,6.70
2022-09-04,honeysesamechicken,6.70
2022-09-04,bowl:honeysesamechicken friedrice,6.70
2022-09-04,chowmein,2.70
2022-09-04,plate:sweetfirechickenbreast orangechicken friedrice,8.20
2022-09-04,bowl:generaltsochicken creamcheeserangoon,6.70
2022-09-04,crispyshrimp,6.70
2022-09-04,plate:broccolibeef broccolibeef friedrice,8.20
2022-09-04,bowl:generaltsochicken chickenpotsticker,6.70
2022-09-04,bowl:honeysesamechicken chickeneggroll,6.70
2022-09-04,chowmein,2.70
2022-09-04,bowl:stringbeanchickenbreast creamcheeserangoon,6.70
2022-09-04,brownrice,2.70
2022-09-04,creamcheeserangoon,6.70
2022-09-04,bowl:generaltsochicken brownrice,6.70
2022-09-04,plate:kungpaochicken broccolibeef crispyshrimp,8.20
2022-09-04,plate:orangechicken generaltsochicken chowmein,8.20
2022-09-04,bigplate:sweetfirechickenbreast grilledteriyakichicken generaltsochicken veggiespringroll,9.70
2022-09-04,chowmein,2.70
2022-09-04,whiterice,2.70
2022-09-04,mixedvegetables,2.70
2022-09-04,whiterice,2.70
2022-09-04,bigplate:orangechicken blackpepperchicken orangechicken crispyshrimp,9.70
2022-09-04,friedrice,2.70
2022-09-04,bigplate:mushroomchicken kungpaochicken mushroomchicken veggiespringroll,9.70
2022-09-04,brownrice,6.70
2022-09-04,bigplate:eggplanttofu honeywalnutshrimp sweetfirechickenbreast chickeneggroll,9.70
2022-09-04,chickeneggroll,2.70
2022-09-04,
